strategy,question,question_type,expected_source_type,expected_vital_sign,expected_age_group,expected_time_window,top1_source_file,top1_source_type,top1_vital_sign,top1_age_group,top1_time_window,top1_source_type_match,top1_vital_sign_match,top1_age_group_match,top1_time_window_match,exact_metadata_match_at_1,exact_metadata_match_at_k,retrieval_latency_ms,number_of_candidates_retrieved,top_k
semantic_only,"For a patient aged 82 with mean HR 104 bpm in the first 24h ICU stay, is this value high?",patient_value_question,mimic_stats,Heart Rate,75-84,first_24h,README.md,project_report,,,,False,False,False,False,False,True,4566.86,25,5
semantic_only,"For a patient aged 78 with MAP 62 mmHg in the first 24h ICU stay, is this value low?",patient_value_question,mimic_stats,MAP,75-84,first_24h,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,MAP,75-84,first_6h,True,True,True,False,False,True,223.31,25,5
semantic_only,"For a patient aged 80 with SpO2 90% in the first 24h ICU stay, is this low?",patient_value_question,mimic_stats,SpO2,75-84,first_24h,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,SpO2,75-84,first_12h,True,True,True,False,False,True,283.12,25,5
semantic_only,What is the difference between a standard clinical threshold and an adaptive percentile-based threshold?,general_question,project_report,,,,README.md,project_report,,,,True,False,False,False,True,True,255.98,25,5
semantic_only,Which MIMIC-IV tables are useful for ICU vital signs?,general_question,project_report,,,,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,Temperature,75-84,first_6h,False,False,False,False,False,False,228.32,25,5
semantic_reranked,"For a patient aged 82 with mean HR 104 bpm in the first 24h ICU stay, is this value high?",patient_value_question,mimic_stats,Heart Rate,75-84,first_24h,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,Heart Rate,75-84,first_24h,True,True,True,True,True,True,241.49,25,5
semantic_reranked,"For a patient aged 78 with MAP 62 mmHg in the first 24h ICU stay, is this value low?",patient_value_question,mimic_stats,MAP,75-84,first_24h,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,MAP,75-84,first_24h,True,True,True,True,True,True,223.31,25,5
semantic_reranked,"For a patient aged 80 with SpO2 90% in the first 24h ICU stay, is this low?",patient_value_question,mimic_stats,SpO2,75-84,first_24h,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,SpO2,75-84,first_24h,True,True,True,True,True,True,226.01,25,5
semantic_reranked,What is the difference between a standard clinical threshold and an adaptive percentile-based threshold?,general_question,project_report,,,,README.md,project_report,,,,True,False,False,False,True,True,243.28,25,5
semantic_reranked,Which MIMIC-IV tables are useful for ICU vital signs?,general_question,project_report,,,,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,Temperature,75-84,first_6h,False,False,False,False,False,False,180.09,25,5
keyword_baseline,"For a patient aged 82 with mean HR 104 bpm in the first 24h ICU stay, is this value high?",patient_value_question,mimic_stats,Heart Rate,75-84,first_24h,README.md,project_report,Heart Rate,,,False,True,False,False,False,True,0.0,269,5
keyword_baseline,"For a patient aged 78 with MAP 62 mmHg in the first 24h ICU stay, is this value low?",patient_value_question,mimic_stats,MAP,75-84,first_24h,README.md,project_report,,,,False,False,False,False,False,True,0.0,269,5
keyword_baseline,"For a patient aged 80 with SpO2 90% in the first 24h ICU stay, is this low?",patient_value_question,mimic_stats,SpO2,75-84,first_24h,README.md,project_report,,,,False,False,False,False,False,False,0.0,269,5
keyword_baseline,What is the difference between a standard clinical threshold and an adaptive percentile-based threshold?,general_question,project_report,,,,README.md,project_report,,,,True,False,False,False,True,True,0.0,269,5
keyword_baseline,Which MIMIC-IV tables are useful for ICU vital signs?,general_question,project_report,,,,README.md,project_report,General,,,True,False,False,False,True,True,0.0,269,5
metadata_filtered,"For a patient aged 82 with mean HR 104 bpm in the first 24h ICU stay, is this value high?",patient_value_question,mimic_stats,Heart Rate,75-84,first_24h,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,Heart Rate,75-84,first_24h,True,True,True,True,True,True,253.11,25,5
metadata_filtered,"For a patient aged 78 with MAP 62 mmHg in the first 24h ICU stay, is this value low?",patient_value_question,mimic_stats,MAP,75-84,first_24h,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,MAP,75-84,first_24h,True,True,True,True,True,True,241.94,25,5
metadata_filtered,"For a patient aged 80 with SpO2 90% in the first 24h ICU stay, is this low?",patient_value_question,mimic_stats,SpO2,75-84,first_24h,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,SpO2,75-84,first_24h,True,True,True,True,True,True,293.38,25,5
metadata_filtered,What is the difference between a standard clinical threshold and an adaptive percentile-based threshold?,general_question,project_report,,,,README.md,project_report,,,,True,False,False,False,True,True,298.03,25,5
metadata_filtered,Which MIMIC-IV tables are useful for ICU vital signs?,general_question,project_report,,,,data/processed/vital_signs_elderly_icu_summary.csv,mimic_stats,Temperature,75-84,first_6h,False,False,False,False,False,False,258.51,25,5
